Date,Mean,Min,Max,Meandiff,Mindiff,Maxdiff
2017-10-29,100.958,99.34,101.77,0.027938990367971872,0.017619340299118935,0.02271128529795985
2017-11-05,101.18799999999999,100.61,101.59,0.0022781750827076674,0.01278437688745715,-0.0017686941141789037
2017-11-12,98.462,97.51,100.78,-0.026939953354152557,-0.0308120465162508,-0.007973225711192078
2017-11-19,97.98599999999999,97.27,98.47,-0.004834352338973558,-0.002461286021946507,-0.022921214526691824
2017-11-26,98.725,98.32,99.01,0.00754189373992209,0.010794695178369507,0.005483903727023565
2017-12-03,102.46600000000001,97.93,104.79,0.037893137503165475,-0.003966639544344841,0.05837794162205845
2017-12-10,105.63000000000002,104.62,106.95,0.03087853531903284,0.06831410190952725,0.02061265387918687
2017-12-17,105.756,104.66,106.85,0.0011928429423457843,0.00038233607340854014,-0.0009350163627864783
2017-12-24,106.978,106.14,107.83,0.01155489995839476,0.014141028090961294,0.00917173607861499
2017-12-31,107.2425,106.94,107.79,0.002472470975340757,0.007537214999057795,-0.000370954279884983
2018-01-07,108.3475,107.95,109.04,0.010303750845047421,0.00944454834486641,0.011596623063363953
2018-01-14,110.26199999999999,108.5,112.67,0.01766999700039218,0.00509495136637339,0.03329053558327222
2018-01-21,112.8825,112.27,113.26,0.02376612069434625,0.03474654377880171,0.005236531463566285
2018-01-28,115.24600000000001,114.21,116.32,0.02093770070648704,0.01727977197826669,0.02701748190005282
2018-02-04,115.626,114.28,116.87,0.0032972944831055617,0.0006129060502584327,0.004728335625859836
2018-02-11,110.33999999999999,107.88,112.87,-0.04571636137200985,-0.056002800140007025,-0.03422606314708654
2018-02-18,113.87800000000001,111.74,115.51,0.03206452782309244,0.03578049684834994,0.023389740409320403
2018-02-25,115.5475,114.71,117.31,0.014660426070004506,0.02657955969214254,0.015583066401177348
2018-03-04,115.676,113.32,118.77,0.0011120967567450624,-0.012117513730276364,0.012445656806751249
2018-03-11,115.546,114.73,118.04,-0.0011238286247795548,0.012442640310624808,-0.006146333249136937
2018-03-18,115.90799999999999,114.95,117.66,0.0031329513786715335,0.0019175455417066445,-0.0032192477126398167
2018-03-25,112.174,107.01,114.74,-0.032215205162715144,-0.06907351022183561,-0.024817270100289
2018-04-01,109.11250000000001,108.0,110.31,-0.027292420703549758,0.00925147182506314,-0.03860902910929054
2018-04-08,109.828,107.85,111.88,0.006557452170924405,-0.001388888888888995,0.014232617169794182
2018-04-15,111.44000000000001,110.3,113.37,0.014677495720581302,0.022716736207695876,0.01331784054343954
2018-04-22,110.58600000000001,109.32,111.72,-0.0076633165829145256,-0.0088848594741614,-0.014554114845197197
2018-04-29,110.16599999999998,109.4,110.93,-0.0037979491074822125,0.0007317965605562193,-0.00707124955245253
2018-05-06,108.23000000000002,107.24,108.78,-0.01757348002105885,-0.019744058500914208,-0.01938159199495182
