Date,Open,High,Low,Close,Adj Close,Volume
2015-12-22,65.92,66.0,64.98,65.68,59.68,12114100
2015-12-23,66.12,66.85,66.05,66.73,60.64,12524500
2015-12-24,66.62,66.89,66.32,66.6,60.52,4468200
2015-12-28,66.29,66.45,65.71,66.38,60.32,6600800
2015-12-29,66.84,67.3,66.74,67.07,60.95,9820800
2015-12-30,67.04,67.05,66.45,66.59,60.51,7190700
2015-12-31,66.19,66.78,66.0,66.03,60.0,14654300
2016-01-04,63.95,64.06,63.01,63.62,58.2,25393200
2016-01-05,63.7,64.13,63.04,63.73,58.3,16566700
2016-01-06,62.72,63.13,62.34,62.81,57.46,22961500
2016-01-07,61.46,62.0,60.08,60.27,55.14,27630900
2016-01-08,61.13,61.27,58.85,58.92,53.9,22373300
2016-01-11,58.83,59.22,58.04,58.83,53.82,20878600
2016-01-12,59.45,59.56,58.1,58.96,53.94,22971600
2016-01-13,59.46,59.68,56.91,57.34,52.46,28808100
2016-01-14,58.16,59.38,57.29,58.2,53.24,31296300
2016-01-15,56.45,57.57,56.22,57.04,52.18,38131700
2016-01-19,57.73,57.97,56.51,57.01,52.15,22818900
2016-01-20,55.63,56.18,54.66,55.51,50.78,34646100
2016-01-21,55.74,56.52,55.06,55.25,50.54,31301100
2016-01-22,56.44,57.16,56.3,56.95,52.1,22732200
2016-01-25,56.48,56.85,55.6,55.66,50.92,21114400
2016-01-26,55.85,57.15,55.81,57.08,52.22,17415800
2016-01-27,57.08,58.27,56.56,57.04,52.18,20560000
2016-01-28,57.52,57.97,56.63,57.28,52.4,15497900
2016-01-29,57.83,59.54,57.51,59.5,54.43,26992200
2016-02-01,59.16,59.65,58.44,58.86,53.85,16807900
2016-02-02,57.88,57.98,56.75,57.03,52.17,22448200
2016-02-03,57.37,57.8,55.02,57.41,52.52,31543200
2016-02-04,57.06,58.52,57.06,58.4,53.42,21558800
2016-02-05,58.58,59.14,57.42,57.75,52.83,22001300
2016-02-08,56.69,56.92,55.54,56.54,51.72,28267600
2016-02-09,55.29,56.69,55.13,56.2,51.41,26247700
2016-02-10,56.57,57.41,55.47,55.52,50.79,22389600
2016-02-11,53.9,53.91,52.5,53.07,48.55,44334700
2016-02-12,55.65,57.57,55.17,57.49,52.59,37011400
2016-02-16,58.23,58.6,57.64,58.35,53.38,23730700
2016-02-17,58.85,59.25,58.39,58.77,53.76,21580100
2016-02-18,58.84,58.86,57.25,57.81,52.89,17037800
2016-02-19,57.5,58.17,57.08,57.82,52.89,15658200
2016-02-22,58.51,58.88,58.42,58.57,53.58,14882800
2016-02-23,57.9,58.09,55.96,56.12,51.34,31772500
2016-02-24,55.2,56.21,54.33,56.14,51.36,25560100
2016-02-25,56.13,57.03,56.04,57.01,52.15,14447300
2016-02-26,57.64,58.11,57.14,57.54,52.64,20947500
2016-02-29,57.41,57.61,56.29,56.3,51.5,19554100
2016-03-01,56.76,59.2,56.67,59.2,54.16,23958100
2016-03-02,59.2,59.9,58.96,59.76,54.67,20943100
2016-03-03,59.58,59.96,59.1,59.96,54.85,15751600
2016-03-04,60.1,60.55,59.53,60.05,54.93,18459000
2016-03-07,59.54,60.05,59.32,59.94,54.83,12832400
2016-03-08,59.21,59.5,58.68,58.78,53.77,14132900
2016-03-09,59.15,59.54,58.68,59.12,54.08,13238800
2016-03-10,59.59,59.67,57.81,58.61,53.62,21096500
2016-03-11,59.39,59.51,58.65,59.34,54.28,21055000
2016-03-14,59.15,59.31,58.6,59.12,54.08,13436100
2016-03-15,58.54,59.21,58.43,59.2,54.16,10910500
2016-03-16,58.98,59.75,58.47,58.92,53.9,17423900
2016-03-17,58.77,59.13,57.99,58.75,53.74,19405700
2016-03-18,60.05,60.97,59.66,60.48,55.33,29570200
2016-03-21,60.22,60.82,59.96,60.46,55.31,12684400
2016-03-22,59.99,60.58,59.62,60.24,55.11,12042700
2016-03-23,60.34,60.51,59.86,59.94,54.83,11658700
2016-03-24,59.3,59.51,58.87,59.48,54.41,12921200
2016-03-28,59.53,59.75,59.18,59.4,54.34,11159700
2016-03-29,59.33,59.33,58.53,59.03,54.0,15809300
2016-03-30,59.46,60.23,59.38,59.71,54.62,13307100
2016-03-31,59.45,59.93,59.11,59.22,54.17,14904700
2016-04-01,59.02,60.06,58.56,59.87,54.77,15417500
2016-04-04,59.44,59.57,58.96,59.2,54.56,12305000
2016-04-05,58.59,58.83,58.21,58.36,53.78,12886600
2016-04-06,58.18,58.88,57.95,58.81,54.2,12154500
2016-04-07,58.26,58.43,57.07,57.32,52.83,19226800
2016-04-08,57.71,58.58,57.69,57.74,53.21,13547700
2016-04-11,57.91,58.88,57.91,58.2,53.64,17627800
2016-04-12,58.34,59.39,58.2,59.28,54.63,17574300
2016-04-13,60.48,62.16,60.38,61.79,56.94,37516800
2016-04-14,61.69,62.91,61.61,62.59,57.68,24194300
2016-04-15,62.88,62.9,61.45,61.87,57.02,19290700
2016-04-18,61.64,62.58,61.53,62.27,57.39,13794200
2016-04-19,62.55,63.48,62.55,63.32,58.35,19255600
2016-04-20,63.48,64.31,63.15,64.24,59.2,14594400
2016-04-21,64.26,64.66,63.34,63.6,58.61,15395800
2016-04-22,63.64,64.38,63.64,63.97,58.95,12444700
2016-04-25,63.6,63.95,63.15,63.6,58.61,10687200
2016-04-26,63.81,64.07,63.33,63.93,58.92,12048000
2016-04-27,63.86,64.64,63.6,64.11,59.08,15284100
2016-04-28,63.64,64.42,63.35,63.6,58.61,12852500
2016-04-29,63.09,63.61,62.7,63.2,58.24,16376400
2016-05-02,63.69,64.0,63.14,63.79,58.79,10247300
2016-05-03,62.9,62.91,61.8,62.56,57.65,19120300
2016-05-04,61.75,62.26,61.27,61.57,56.74,17030200
2016-05-05,61.6,62.0,61.06,61.24,56.44,14033900
2016-05-06,60.7,61.68,60.59,61.6,56.77,11057900
2016-05-09,61.37,61.89,61.05,61.21,56.41,11197100
2016-05-10,61.55,62.26,61.35,62.04,57.17,11708900
2016-05-11,61.97,62.6,61.81,61.81,56.96,11254000
2016-05-12,62.27,62.56,61.37,61.77,56.93,11071700
2016-05-13,61.7,62.4,61.02,61.2,56.4,15122300
2016-05-16,61.21,61.99,61.0,61.66,56.82,10951300
2016-05-17,61.43,62.16,61.15,61.66,56.82,12180900
2016-05-18,61.7,64.17,61.69,64.04,59.02,24052300
2016-05-19,63.53,64.22,62.9,63.39,58.42,16076200
2016-05-20,63.86,64.19,63.37,63.51,58.53,11862000
2016-05-23,63.45,63.87,63.16,63.46,58.48,9324900
2016-05-24,63.94,64.77,63.81,64.54,59.48,13839400
2016-05-25,64.94,66.2,64.92,65.52,60.38,18935200
2016-05-26,65.57,65.58,64.91,65.03,59.93,9243000
2016-05-27,65.21,65.46,65.05,65.43,60.3,10116000
2016-05-31,65.73,65.82,64.96,65.27,60.15,15139400
2016-06-01,64.76,65.92,64.26,65.69,60.54,14031000
2016-06-02,65.52,65.81,65.16,65.81,60.65,10582800
2016-06-03,64.25,64.86,63.55,64.64,59.57,20261700
